         589089 function calls (567899 primitive calls) in 1.436 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      142    0.718    0.005    0.718    0.005 {method 'read' of '_ssl._SSLSocket' objects}
        1    0.137    0.137    0.137    0.137 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        1    0.108    0.108    0.109    0.109 {built-in method _socket.getaddrinfo}
        1    0.047    0.047    0.047    0.047 {method 'connect' of '_socket.socket' objects}
 3426/214    0.026    0.000    0.077    0.000 sre_parse.py:493(_parse)
      236    0.016    0.000    0.016    0.000 {built-in method marshal.loads}
 4470/177    0.014    0.000    0.041    0.000 sre_compile.py:71(_compile)
      991    0.012    0.000    0.016    0.000 sre_compile.py:276(_optimize_charset)
       25    0.011    0.000    0.012    0.000 {built-in method _imp.create_dynamic}
    11819    0.010    0.000    0.010    0.000 {method 'match' of 're.Pattern' objects}
     1204    0.010    0.000    0.010    0.000 {built-in method posix.stat}
  719/716    0.009    0.000    0.095    0.000 {built-in method builtins.__build_class__}
     1234    0.009    0.000    0.045    0.000 parser.py:300(parse_starttag)
      236    0.009    0.000    0.009    0.000 {built-in method io.open_code}
    23561    0.008    0.000    0.008    0.000 sre_parse.py:233(__next)
    25722    0.008    0.000    0.011    0.000 sre_parse.py:164(__getitem__)
58076/58056    0.007    0.000    0.008    0.000 {built-in method builtins.isinstance}
57304/51807    0.007    0.000    0.008    0.000 {built-in method builtins.len}
        2    0.007    0.003    0.075    0.038 parser.py:133(goahead)
 4750/630    0.006    0.000    0.009    0.000 sre_parse.py:174(getwidth)
    64718    0.006    0.000    0.006    0.000 {method 'append' of 'list' objects}
 1342/178    0.006    0.000    0.078    0.000 sre_parse.py:435(_parse_sub)
        1    0.006    0.006    0.006    0.006 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
      152    0.006    0.000    0.006    0.000 {method 'decompress' of 'zlib.Decompress' objects}
        1    0.005    0.005    0.005    0.005 {built-in method _scproxy._get_proxies}
    15509    0.005    0.000    0.010    0.000 sre_parse.py:254(get)
     1235    0.004    0.000    0.012    0.000 element.py:1152(__init__)
      900    0.004    0.000    0.004    0.000 {built-in method __new__ of type object at 0x1019c2a40}
    291/1    0.004    0.000    1.436    1.436 {built-in method builtins.exec}
      561    0.004    0.000    0.020    0.000 <frozen importlib._bootstrap_external>:1505(find_spec)
        1    0.004    0.004    0.029    0.029 dammit.py:2313(_populate_class_variables)
     1234    0.003    0.000    0.019    0.000 __init__.py:691(handle_starttag)
    11937    0.003    0.000    0.005    0.000 sre_parse.py:249(match)
     3605    0.003    0.000    0.003    0.000 {method 'search' of 're.Pattern' objects}
     1234    0.003    0.000    0.023    0.000 _htmlparser.py:119(handle_starttag)
     1166    0.003    0.000    0.015    0.000 parser.py:385(parse_endtag)
      938    0.003    0.000    0.006    0.000 __init__.py:285(_replace_cdata_list_attribute_values)
       98    0.003    0.000    0.003    0.000 {built-in method posix.getcwd}
    10311    0.003    0.000    0.003    0.000 sre_parse.py:160(__len__)
      475    0.002    0.000    0.003    0.000 css_types.py:37(__init__)
     1235    0.002    0.000    0.003    0.000 __init__.py:541(pushTag)
     1234    0.002    0.000    0.005    0.000 __init__.py:657(_popToTag)
     4808    0.002    0.000    0.004    0.000 _markupbase.py:48(updatepos)
     4339    0.002    0.000    0.002    0.000 {method 'join' of 'str' objects}
     1256    0.002    0.000    0.007    0.000 element.py:2060(search_tag)
    11275    0.002    0.000    0.002    0.000 {built-in method builtins.min}
     2075    0.002    0.000    0.002    0.000 element.py:158(setup)
     6169    0.002    0.000    0.003    0.000 sre_parse.py:172(append)
      236    0.002    0.000    0.002    0.000 {method 'read' of '_io.BufferedReader' objects}
      799    0.002    0.000    0.002    0.000 {method 'findall' of 're.Pattern' objects}
       25    0.002    0.000    0.005    0.000 enum.py:179(__new__)
     2972    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:123(<listcomp>)
     2972    0.002    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:121(_path_join)
    11490    0.002    0.000    0.002    0.000 {method 'get' of 'dict' objects}
     1234    0.002    0.000    0.002    0.000 __init__.py:527(popTag)
      236    0.002    0.000    0.037    0.000 <frozen importlib._bootstrap_external>:916(get_code)
      320    0.002    0.000    0.132    0.000 re.py:289(_compile)
     8730    0.002    0.000    0.002    0.000 {method 'startswith' of 'str' objects}
     5051    0.002    0.000    0.002    0.000 sre_parse.py:111(__init__)
     5245    0.002    0.000    0.002    0.000 {method 'group' of 're.Match' objects}
     1258    0.002    0.000    0.004    0.000 element.py:2156(_matches)
     2473    0.002    0.000    0.005    0.000 __init__.py:555(endData)
     4670    0.002    0.000    0.002    0.000 sre_parse.py:286(tell)
      283    0.002    0.000    0.029    0.000 <frozen importlib._bootstrap>:901(_find_spec)
     3284    0.002    0.000    0.002    0.000 {built-in method builtins.getattr}
      448    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:112(release)
      472    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:361(cache_from_source)
      154    0.001    0.000    0.732    0.005 http11.py:166(_receive_event)
     2826    0.001    0.000    0.001    0.000 {method 'count' of 'str' objects}
      117    0.001    0.000    0.002    0.000 sre_compile.py:492(_get_charset_prefix)
     2203    0.001    0.000    0.003    0.000 typing.py:708(__setattr__)
     1682    0.001    0.000    0.009    0.000 element.py:2123(search)
     1234    0.001    0.000    0.004    0.000 parser.py:351(check_for_whole_start_tag)
      991    0.001    0.000    0.002    0.000 sre_compile.py:249(_compile_charset)
      662    0.001    0.000    0.003    0.000 typing.py:137(_type_check)
6513/6497    0.001    0.000    0.002    0.000 {built-in method builtins.hasattr}
       27    0.001    0.000    0.001    0.000 {built-in method posix.listdir}
    288/3    0.001    0.000    0.297    0.099 <frozen importlib._bootstrap>:1002(_find_and_load)
      448    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:166(_get_module_lock)
      280    0.001    0.000    0.026    0.000 <frozen importlib._bootstrap_external>:1374(_get_spec)
        4    0.001    0.000    0.001    0.000 {built-in method builtins.sorted}
     5379    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
      360    0.001    0.000    0.001    0.000 sre_compile.py:413(<listcomp>)
     1079    0.001    0.000    0.002    0.000 sre_parse.py:295(_class_escape)
      236    0.001    0.000    0.001    0.000 {method '__exit__' of '_io._IOBase' objects}
        2    0.001    0.001    0.001    0.001 {built-in method _codecs.utf_8_decode}
  295/294    0.001    0.000    0.003    0.000 _readers.py:137(__call__)
      264    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap>:486(_init_module_attrs)
      313    0.001    0.000    0.005    0.000 css_parser.py:999(selector_iter)
     1234    0.001    0.000    0.010    0.000 __init__.py:729(handle_endtag)
