         589740 function calls (568554 primitive calls) in 1.148 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    64708    0.006    0.000    0.006    0.000 {method 'append' of 'list' objects}
58077/58057    0.007    0.000    0.008    0.000 {built-in method builtins.isinstance}
57322/51829    0.007    0.000    0.008    0.000 {built-in method builtins.len}
    25712    0.008    0.000    0.012    0.000 sre_parse.py:164(__getitem__)
    23561    0.008    0.000    0.008    0.000 sre_parse.py:233(__next)
    15509    0.005    0.000    0.010    0.000 sre_parse.py:254(get)
    11937    0.003    0.000    0.006    0.000 sre_parse.py:249(match)
    11819    0.010    0.000    0.010    0.000 {method 'match' of 're.Pattern' objects}
    11501    0.002    0.000    0.002    0.000 {method 'get' of 'dict' objects}
    11275    0.002    0.000    0.002    0.000 {built-in method builtins.min}
    10301    0.003    0.000    0.004    0.000 sre_parse.py:160(__len__)
     8996    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
     8730    0.002    0.000    0.002    0.000 {method 'startswith' of 'str' objects}
6513/6497    0.001    0.000    0.002    0.000 {built-in method builtins.hasattr}
     6417    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
     6225    0.001    0.000    0.001    0.000 {method 'end' of 're.Match' objects}
     6169    0.002    0.000    0.003    0.000 sre_parse.py:172(append)
     5857    0.001    0.000    0.001    0.000 {method 'lower' of 'str' objects}
     5379    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
     5245    0.002    0.000    0.002    0.000 {method 'group' of 're.Match' objects}
     5051    0.002    0.000    0.002    0.000 sre_parse.py:111(__init__)
     4808    0.002    0.000    0.004    0.000 _markupbase.py:48(updatepos)
 4750/630    0.007    0.000    0.009    0.000 sre_parse.py:174(getwidth)
     4670    0.002    0.000    0.002    0.000 sre_parse.py:286(tell)
     4483    0.000    0.000    0.000    0.000 element.py:1499(__bool__)
 4470/177    0.015    0.000    0.042    0.000 sre_compile.py:71(_compile)
     4339    0.002    0.000    0.002    0.000 {method 'join' of 'str' objects}
     4229    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
     3805    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
     3605    0.003    0.000    0.003    0.000 {method 'search' of 're.Pattern' objects}
 3426/214    0.026    0.000    0.079    0.000 sre_parse.py:493(_parse)
     3301    0.002    0.000    0.002    0.000 {built-in method builtins.getattr}
     3132    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:231(_verbose_message)
     3014    0.001    0.000    0.001    0.000 {built-in method builtins.max}
     2972    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:123(<listcomp>)
     2972    0.002    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:121(_path_join)
2933/2932    0.001    0.000    0.006    0.000 {built-in method builtins.next}
     2826    0.001    0.000    0.001    0.000 {method 'count' of 'str' objects}
     2473    0.002    0.000    0.005    0.000 __init__.py:555(endData)
     2419    0.000    0.000    0.000    0.000 {method 'start' of 're.Match' objects}
     2335    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
     2335    0.000    0.000    0.001    0.000 abc.py:117(__instancecheck__)
     2241    0.001    0.000    0.002    0.000 css_parser.py:305(match)
     2203    0.001    0.000    0.002    0.000 typing.py:660(_is_dunder)
     2203    0.001    0.000    0.003    0.000 typing.py:708(__setattr__)
     2080    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
     2075    0.002    0.000    0.002    0.000 element.py:158(setup)
     1846    0.000    0.000    0.001    0.000 __init__.py:122(unescape)
     1701    0.000    0.000    0.000    0.000 element.py:1882(descendants)
     1682    0.001    0.000    0.009    0.000 element.py:2123(search)
     1676    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
     1651    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
1613/1111    0.000    0.000    0.001    0.000 {built-in method builtins.hash}
     1578    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
     1578    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
     1487    0.001    0.000    0.001    0.000 sre_parse.py:168(__setitem__)
 1342/178    0.006    0.000    0.080    0.000 sre_parse.py:435(_parse_sub)
     1340    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
     1313    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
     1269    0.001    0.000    0.001    0.000 element.py:2023(_normalize_search_value)
     1258    0.002    0.000    0.004    0.000 element.py:2156(_matches)
     1257    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
     1256    0.002    0.000    0.007    0.000 element.py:2060(search_tag)
     1235    0.002    0.000    0.003    0.000 __init__.py:541(pushTag)
     1235    0.000    0.000    0.000    0.000 __init__.py:195(can_be_empty_element)
     1235    0.000    0.000    0.000    0.000 __init__.py:435(set_up_substitutions)
