         499553 function calls (480924 primitive calls) in 1.255 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      144    0.587    0.004    0.587    0.004 {method 'read' of '_ssl._SSLSocket' objects}
        1    0.265    0.265    0.265    0.265 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        1    0.039    0.039    0.039    0.039 {method 'connect' of '_socket.socket' objects}
 3188/182    0.024    0.000    0.071    0.000 sre_parse.py:493(_parse)
 3930/175    0.014    0.000    0.033    0.000 sre_compile.py:71(_compile)
      145    0.012    0.000    0.012    0.000 {built-in method marshal.loads}
       22    0.011    0.001    0.011    0.001 {built-in method _imp.create_dynamic}
    11693    0.011    0.000    0.011    0.000 {method 'match' of 're.Pattern' objects}
     1222    0.010    0.000    0.050    0.000 parser.py:300(parse_starttag)
    21923    0.008    0.000    0.008    0.000 sre_parse.py:233(__next)
        1    0.008    0.008    0.008    0.008 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
        2    0.008    0.004    0.084    0.042 parser.py:133(goahead)
      843    0.007    0.000    0.007    0.000 {built-in method posix.stat}
    23063    0.007    0.000    0.010    0.000 sre_parse.py:164(__getitem__)
      875    0.006    0.000    0.010    0.000 sre_compile.py:276(_optimize_charset)
       32    0.006    0.000    0.006    0.000 {method 'decompress' of 'zlib.Decompress' objects}
      481    0.006    0.000    0.084    0.000 {built-in method builtins.__build_class__}
50819/46102    0.006    0.000    0.007    0.000 {built-in method builtins.len}
    47011    0.006    0.000    0.007    0.000 {built-in method builtins.isinstance}
 3931/349    0.006    0.000    0.008    0.000 sre_parse.py:174(getwidth)
    59117    0.006    0.000    0.006    0.000 {method 'append' of 'list' objects}
     1223    0.006    0.000    0.014    0.000 element.py:1152(__init__)
      145    0.006    0.000    0.006    0.000 {built-in method io.open_code}
 1187/176    0.005    0.000    0.072    0.000 sre_parse.py:435(_parse_sub)
        1    0.005    0.005    0.005    0.005 {built-in method _scproxy._get_proxy_settings}
    14781    0.005    0.000    0.010    0.000 sre_parse.py:254(get)
      747    0.004    0.000    0.004    0.000 {built-in method __new__ of type object at 0x10c8eaa40}
        1    0.004    0.004    0.031    0.031 dammit.py:2313(_populate_class_variables)
     1222    0.004    0.000    0.022    0.000 __init__.py:691(handle_starttag)
     3589    0.003    0.000    0.003    0.000 {method 'search' of 're.Pattern' objects}
